prévisions météo de la station de Polytech. L'échéance correspond au nombre d'heures avant la prediction.
echeance (heures),echeance (date/heure),temperature2m,temperaturesol,pressionniveau_de_la_mer,pluie,humidite2m,nebulositetotale,cape,iso_zero,risque_neige,vent_moyen10m,vent_rafales10m,vent_direction10m
3,2023-10-15 05:00:00 UTC,292.3,292.1,100960,0,64.4,23.2,0,3648.8,0,22.7,28.2,273
6,2023-10-15 08:00:00 UTC,291.3,291.1,100890,0,61.5,60.5,0,3694.2,0,17.8,21.3,281
9,2023-10-15 11:00:00 UTC,294.3,293.7,100950,0,47.1,41.8,0,3676.6,0,7.8,9.1,269
12,2023-10-15 14:00:00 UTC,296.5,296.3,100810,0,44.7,49,0,3681.6,0,6.2,14.5,473
15,2023-10-15 17:00:00 UTC,294.9,294.5,100840,0,70.9,82.4,0,3720.2,0,28,30.3,419
18,2023-10-15 20:00:00 UTC,294.4,294.1,101050,0.1,77.1,91.2,0,3605.4,0,19.2,27.9,417
21,2023-10-15 23:00:00 UTC,294.4,294.1,101230,0.2,73.4,100,0,3377.8,0,20.2,29.6,435
24,2023-10-16 02:00:00 UTC,294.3,294,101320,0.1,64.6,100,0,3293.1,0,21.2,33.7,445
27,2023-10-16 05:00:00 UTC,293.1,292.6,101330,0,58,100,0,3244.3,0,26.4,37,432
30,2023-10-16 08:00:00 UTC,292.4,291.4,101470,0,68.5,100,0,3153.1,0,37.6,42.5,438
33,2023-10-16 11:00:00 UTC,292.2,291.1,101610,0.4,66.1,100,0,2738.9,0,28.9,29.2,445
36,2023-10-16 14:00:00 UTC,292,290.7,101590,0.1,63.5,100,0,2679,0,33.6,33.2,452
39,2023-10-16 17:00:00 UTC,291.6,290.6,101530,0.1,62.7,100,0,2751,0,28.9,28.7,460
42,2023-10-16 20:00:00 UTC,290.3,289.2,101610,1.4,72.4,100,0,2741.6,0,20.9,24.5,446
45,2023-10-16 23:00:00 UTC,290.8,289.7,101630,0.4,68.4,100,0,2957.4,0,18.8,22.3,439
48,2023-10-17 02:00:00 UTC,290.3,289.2,101600,0.3,70.2,100,0,3013.3,0,16.7,20.5,446
51,2023-10-17 05:00:00 UTC,290.4,289.5,101500,0.3,67.3,100,0,2784.6,0,16.8,20.7,437
54,2023-10-17 08:00:00 UTC,290.8,290,101510,0,62.5,100,0,2777.3,0,14.6,17.3,440
57,2023-10-17 11:00:00 UTC,291.3,290.1,101620,0,62.6,100,0,3159.5,0,17.4,18.8,437
60,2023-10-17 14:00:00 UTC,291.7,290.4,101550,0,57.5,100,0,3429.9,0,22,21.9,445
63,2023-10-17 17:00:00 UTC,291.6,290.6,101430,0,59.9,100,0,3542.6,0,20.5,21.7,438
66,2023-10-17 20:00:00 UTC,291.8,290.9,101480,0,60.7,100,0,3530.7,0,18.2,20,428
69,2023-10-17 23:00:00 UTC,292.2,291.3,101480,0,58.5,100,0,3296.3,0,20.7,23.1,427
72,2023-10-18 02:00:00 UTC,292.3,291.5,101380,0,58.5,100,0,3369.8,0,24.8,27.4,428
75,2023-10-18 05:00:00 UTC,292.1,291.3,101300,0,59.9,100,0,3551.8,0,27.4,29.6,429
78,2023-10-18 08:00:00 UTC,290.9,290,101260,0.1,67.3,100,0,3535.4,0,27.2,30,426
81,2023-10-18 11:00:00 UTC,290.7,289.7,101260,0.2,74,100,0,3523.7,0,25.9,30.8,422
84,2023-10-18 14:00:00 UTC,290.8,289.9,101170,0.3,79.4,100,0,3468.8,0,24.9,30,418
87,2023-10-18 17:00:00 UTC,290.8,290.1,101010,0.6,83.6,100,0,3465.3,0,24.6,28.9,427
90,2023-10-18 20:00:00 UTC,290.9,290.3,100970,0.9,84.2,100,0,3489.1,0,24.6,29.9,418
93,2023-10-18 23:00:00 UTC,291.2,290.7,100900,0.6,84.3,99.9,0,3656,0,19,23.5,423
96,2023-10-19 02:00:00 UTC,291.3,290.9,100800,0.3,87.1,99.9,0,3880,0,21.8,25.3,424
99,2023-10-19 05:00:00 UTC,291.3,291.1,100640,0.1,86,87,0,3496,0,20.4,23.2,415
102,2023-10-19 08:00:00 UTC,291.3,291.2,100530,0,85.4,87.4,0,3429.1,0,22.8,26.4,421
105,2023-10-19 11:00:00 UTC,292.2,291.9,100530,0.1,81.3,80.2,0,3581.1,0,27.5,30,415
108,2023-10-19 14:00:00 UTC,292.7,292.4,100430,0.4,79.5,88.8,0,3416.3,0,19.7,16.1,410
111,2023-10-19 17:00:00 UTC,293.4,293.3,100270,0.3,76.1,52.7,0,3424.5,0,22.8,19.6,413
114,2023-10-19 20:00:00 UTC,292.7,292.8,100200,0.3,82.3,53.7,0,3568.6,0,27.7,30.1,418
117,2023-10-19 23:00:00 UTC,291.8,291.9,100060,1.3,89.4,100,0,3326.9,0,32.4,36.8,415
